BI_01/01e11::Viale dei Tigli 1, Biella [45.556893159505364, 8.036920890926911]
BI_01/01e12::Via Ivrea, Biella [45.55728184013317, 8.039146965204269]
BI_01/01e13::Via Giovan Battista Costanzo 3a, Biella [45.558474856207866, 8.040392658783102]
BI_01/01e14::Via Michelangelo Golzio 2a, Biella [45.55984789237249, 8.044038509560593]
BI_01/01e21::Vicolo Galliere 1, Biella [45.56052559458568, 8.045918916809011]
BI_01/01e22::Piazza Giovan Battista Cossato, Biella [45.56029109627749, 8.047545276425977]
BI_01/01e23::Via Cipriano Villani 13a, Biella [45.56275918525308, 8.049930266179302]
BI_01/01e24::Via Alfonso Lamarmora, Biella [45.56092077718919, 8.0497557912553]
BI_01/01e31::Via Antonio Gramsci 19, Biella [45.56424970549124, 8.053260120646186]
BI_01/01e32::Via Giuseppe Mazzini 47a, Biella [45.56329202396162, 8.051511592251261]
BI_01/01e33::Via Nazario Sauro 4, Biella [45.56272972186711, 8.05333470765658]
BI_01/01e34::Via Nazario Sauro 10, Biella [45.562488844071645, 8.052205360976702]
BI_01/01e41::Via Nazario Sauro 13a, Biella [45.56236860471921, 8.050992385424317]
BI_01/01e42::Via Fratelli Rosselli 22, Biella [45.5572655557556, 8.048373252229164]
BI_01/01e43::Corso Risorgimento 7, Biella [45.55989100064076, 8.050748152994892]
BI_01/01e44::Via Lorenzo Delleani 20a, Biella [45.559985026955644, 8.052726693500581]
BI_01/01w11::Via Padre Giuseppe Greggio 8a, Biella [45.55446408699775, 8.04253718785783]
BI_01/01w12::Via del Sole 2, Biella [45.555710859554765, 8.048841408080532]
BI_01/01w13::Via Fratelli Rosselli 55a, Biella [45.552664141176805, 8.04981637486399]
BI_01/01w14::Viale Macallè 45a, Biella [45.55198014860747, 8.051221127464586]
BI_01/01w21::Via Augusto Vialardi di Verrone 5, Biella [45.556159368688085, 8.050176949199415]
BI_01/01w22::Via Don Luigi Sturzo 37, Biella [45.55679981916527, 8.052820793248031]
BI_01/01w23::Via Tripoli 28a, Biella [45.558182821264325, 8.051572953344207]
BI_01/01w24::Via Pietro Paietta 17a, Biella [45.55761809970965, 8.05075997818008]
BI_01/01w31::Via Addis Abeba 41, Biella [45.55533054662937, 8.052926752096507]
BI_01/01w32::Via Toscana 33, Biella [45.55360743795379, 8.059624978573643]
BI_01/01w33::Viale Macallè 26d, Biella [45.554052108724406, 8.057638553584894]
BI_01/01w34::Via Ugo Macchieraldo 6, Biella [45.555177922275625, 8.056659666487846]
BI_01/01w41::Corso Alcide De Gasperi 44, Biella [45.55563944621627, 8.059019161524773]
BI_01/01w42::Corso Alcide De Gasperi, Biella [45.55672718684677, 8.058000388050635]
BI_01/01w43::Via Tripoli 29d, Biella [45.55849314831667, 8.053155071160498]
BI_01/01w44::Via Tripoli 21, Biella [45.559081750487714, 8.054914582511604]
BI_01/02e11::Via Guglielmo Oberdan 5, Biella [45.56226406583794, 8.053537069723467]
BI_01/02e12::Via Lorenzo Delleani 14g, Biella [45.5607843307616, 8.055584570718302]
BI_01/02e13::Via Vignetto 2a, Biella [45.56025182712842, 8.059730596064117]
BI_01/02e14::Via Sant'Eusebio 3a, Biella [45.56104964909444, 8.05815670266862]
BI_01/02e21::Via Sant'Eusebio 40, Biella [45.55847874363193, 8.058188705859132]
BI_01/02e22::Via Torino 48f, Biella [45.55869438655866, 8.06104228008718]
BI_01/02e23::Via Valentino Cerruti 5, Biella [45.55668818637728, 8.059462463560735]
BI_01/02e24::Via Giovanni Battista Botalla 3a, Biella [45.55754633352783, 8.06061186266654]
BI_01/02e31::Via Trento 37a, Biella [45.5583395003476, 8.063311971296741]
BI_01/02e32::Via Trento 51, Biella [45.55709204397473, 8.064145388703468]
BI_01/02e33::Via Zara 14, Biella [45.559768925864695, 8.062198937277552]
