Segnala il PFS mancante!!::::00
TOH_1/01e11::Via Rieti, Grugliasco [45.06676433, 7.60924554]
TOH_1/01e12::Viale Bruno Radich, Grugliasco [45.06684209, 7.60900872]
TOH_1/01e13::Viale Bruno Radich, Grugliasco [45.06645413, 7.61004245]
TOH_1/01e14::Via Anastasio Germonio 7, Grugliasco [45.06616488, 7.61143824]
TOH_1/01e21::Via Milano 78, Grugliasco [45.06782204, 7.60406798]
TOH_1/01e22::Via Macedonia, Grugliasco [45.06866549, 7.60373158]
TOH_1/01e23::Via Podgora 4, Grugliasco [45.07018589, 7.60229768]
TOH_1/01e31::Via Napoli, Grugliasco [45.06846845, 7.60038758]
TOH_1/01e32::Via Vandalino, Grugliasco [45.07086196, 7.60029436]
TOH_1/01e33::Via Riesi, Grugliasco [45.06963296, 7.59929209]
TOH_1/01e41::Via Natale Palli, Grugliasco [45.06803315, 7.58781960]
TOH_1/01e42::Via Amerigo Vespucci, Grugliasco [45.06964479, 7.58784183]
TOH_1/01e43::Via Giotto, Grugliasco [45.06761219, 7.58507797]
TOH_1/01e44::Via Francesco Baracca, Grugliasco [45.06764885, 7.58487415]
TOH_1/01w11::Via Andrea Costa, Grugliasco [45.06738652, 7.57319372]
TOH_1/01w12::Via Goito, Grugliasco [45.06503312, 7.57295563]
TOH_1/01w13::Via Don Mario Caustico, Grugliasco [45.06398916, 7.57082116]
TOH_1/01w14::Piazza Papa Giovanni XXIII, Grugliasco [45.06330758, 7.57297849]
TOH_1/01w21::Via Latina, Grugliasco [45.07016844, 7.57971999]
TOH_1/01w22::Via Frejus, Grugliasco [45.06895989, 7.57874563]
TOH_1/01w23::Via Generale Cantore, Grugliasco [45.06691040, 7.57952401]
TOH_1/01w31::Via Marco Polo, Grugliasco [45.06834330, 7.58267065]
TOH_1/01w32::Via Francesco Baracca, Grugliasco [45.06795903, 7.58128733]
TOH_1/01w33::Via Generale Cantore, Grugliasco [45.06674565, 7.58072377]
TOH_1/01w41::Via Generale Cantore 84, Grugliasco [45.06637962, 7.58371439]
TOH_1/01w42::Via Cristoforo Colombo 63, Grugliasco [45.06903415, 7.58514410]
TOH_1/01w43::Via Cristoforo Colombo, Grugliasco [45.06924557, 7.58398130]
TOH_1/02e11::Via Michelangelo 12, Grugliasco [45.06397576, 7.58314708]
TOH_1/02e12::Via Giustetti 66, Grugliasco [45.06476927, 7.57965905]
TOH_1/02e13::Via Giovanni Giolitti 25, Grugliasco [45.06452452, 7.58175784]
TOH_1/02e21::Via Frejus, Grugliasco [45.06896500, 7.57704702]
TOH_1/02e22::Via San Rocco, Grugliasco [45.06920204, 7.57572804]
TOH_1/02e23::Via Giuseppe Garibaldi, Grugliasco [45.06898373, 7.57433736]
TOH_1/02e24::Via Giuseppe Verdi 8, Grugliasco [45.06781609, 7.57620458]
TOH_1/02e31::Via Venti Settembre, Grugliasco [45.06809325, 7.57071754]
TOH_1/02e32::Via C.L.N., Grugliasco [45.06747546, 7.56846167]
TOH_1/02e33::Via C.L.N., Grugliasco [45.06736623, 7.56833032]
TOH_1/02e34::Via C.L.N. 55, Grugliasco [45.06813323, 7.56551695]
TOH_1/02e41::Via Duccio Galimberti, Grugliasco [45.06333919, 7.57042721]
TOH_1/02e42::Via Dante di Nanni, Grugliasco [45.06216780, 7.56736849]
TOH_1/02e43::Corso Martin Luther King, Grugliasco [45.06125400, 7.56560124]
TOH_1/02e44::Via Duccio Galimberti, Grugliasco [45.06389673, 7.56523416]
TOH_1/02w11::Viale Fabrizio De André, Grugliasco [45.05580912, 7.58538159]
TOH_1/02w12::Via Giovanni Battista La Salle, Grugliasco [45.05794697, 7.58459239]
TOH_1/02w13::Via Rino Gaetano, Grugliasco [45.05851669, 7.57887182]
TOH_1/02w14::Viale Fabrizio De André, Grugliasco [45.05663110, 7.58145466]
TOH_1/02w21::Via Giovanni Battista La Salle, Grugliasco [45.06001823, 7.57970796]
TOH_1/02w22::Via Francesco Cravero 63, Grugliasco [45.06249236, 7.58011468]
TOH_1/02w23::Via Giuseppe Antonio Michiardi, Grugliasco [45.06110394, 7.57672142]
TOH_1/02w31::Via Generale Giuseppe Perotti 96, Grugliasco [45.05939907, 7.57648769]
TOH_1/02w32::Via Gerolamo Olevano, Grugliasco [45.05859218, 7.57371970]
TOH_1/02w33::Corso Martin Luther King, Grugliasco [45.05756412, 7.56904320]
TOH_1/02w34::Via Gerolamo Olevano, Grugliasco [45.05867724, 7.57096417]
TOH_1/02w41::Via Giuseppe Antonio Michiardi, Grugliasco [45.06156282, 7.57240203]
TOH_1/02w42::Corso Fratelli Cervi, Grugliasco [45.06093071, 7.57132596]
TOH_1/02w43::Via Bassi, Grugliasco [45.06071184, 7.56991385]
TOH_1/02w44::Via Gerolamo Olevano, Grugliasco [45.05981992, 7.56724652]
TOH_1/03e11::Via Fratel Prospero, Grugliasco [45.06332445, 7.58563921]
TOH_1/03e12::Via Stefano Scoffone, Grugliasco [45.06125853, 7.58553788]
TOH_1/03e13::Via Stefano Scoffone, Grugliasco [45.06134288, 7.58441158]
TOH_1/03e21::Via Palermo 12, Collegno [45.07119404, 7.58651234]
TOH_1/03e22::Via Mantova, Collegno [45.07177782, 7.58841967]
TOH_1/03e23::Corso Francia 101, Collegno [45.07276178, 7.58358877]
TOH_1/03e24::Corso Francia, Collegno [45.07277736, 7.58055283]
TOH_1/03e31::Via Cesare Battisti, Collegno [45.07158666, 7.57639564]
TOH_1/03e32::Via Nazario Sauro, Collegno [45.07079027, 7.57649779]
